benchID,anoIdx,refIdx,MFP
100,21,39096,4
100,24,38190,2
100,26,44239,3
100,30,44130,3
100,37,44029,3
100,39,42748,5
100,45,37194,3
100,58,41694,5
100,64,41587,5
100,82,40145,4
100,83,44906,5
100,92,40847,3
100,117,44587,1
100,132,45661,1
100,136,40697,5
100,161,37532,2
100,169,35226,3
100,181,36785,3
100,189,41839,2
100,193,38009,2
100,195,41940,2
100,208,41284,4
100,226,39836,5
100,234,44737,3
100,243,45604,4
100,264,41948,3
100,270,40157,4
100,272,42984,2
100,273,35919,6
100,281,46050,3
100,289,42368,3
100,296,37490,1
100,302,43808,2
100,308,45173,1
100,313,40116,5
100,327,35434,3
100,330,36731,3
100,338,40881,3
100,344,35647,3
100,349,40503,3
100,356,38807,1
100,377,37685,4
100,378,37042,4
100,379,45213,1
100,387,36708,2
100,388,41385,4
100,391,46157,5
100,431,39051,5
100,437,43146,4
100,442,34808,2
100,471,42727,2
100,483,44728,5
100,498,39283,6
100,514,38544,4
100,524,45763,2
100,529,43899,3
100,533,43036,3
100,548,36786,1
100,562,41135,1
100,564,37159,1
100,574,45065,5
100,576,36698,4
100,602,45474,1
100,605,36586,3
100,628,37174,3
100,642,41133,3
100,660,37657,4
100,665,41423,5
100,671,45068,4
100,698,38945,4
100,708,37062,2
100,718,42763,1
100,723,39609,1
100,735,38735,3
100,737,35234,6
100,743,40316,1
100,744,39708,2
100,758,37384,4
100,765,38757,1
100,768,42440,4
100,771,38212,2
100,779,43373,3
100,784,45477,2
100,787,39956,4
100,795,45617,4
100,798,43244,1
100,799,41348,4
100,804,38900,3
100,809,41637,4
100,811,41063,2
100,813,40745,3
100,827,37092,3
100,829,44719,3
100,850,38363,4
100,853,38822,2
100,874,44916,1
100,888,42721,2
100,889,41896,3
100,897,41773,1
100,898,39070,3
100,918,40014,4
100,921,38647,1
100,926,37344,3
100,929,45045,3
100,951,37443,4
100,979,44251,2
100,982,45726,4
100,989,43223,1
100,991,42464,4
100,998,39375,3
100,1027,43485,3
100,1031,37760,1
100,1039,45944,3
100,1045,39853,3
100,1049,44976,4
100,1051,42424,3
100,1052,40193,4
100,1060,38334,3
100,1064,39744,3
100,1088,45672,3
100,1097,36512,1
100,1101,43767,3
100,1120,42768,1
100,1122,39166,4
100,1128,40239,3
100,1132,45929,2
100,1146,36348,3
100,1147,41264,2
100,1148,36434,3
100,1159,43929,1
100,1168,46346,3
100,1171,45118,4
100,1182,37414,4
100,1199,35620,1
100,1223,34934,1
100,1257,40349,3
100,1260,35581,5
100,1268,38986,3
100,1271,42453,1
100,1297,38863,4
100,1301,36239,4
100,1314,44331,3
100,1319,34821,4
100,1341,44573,3
100,1350,36339,3
100,1354,45079,5
100,1369,35046,3
100,1376,39553,2
100,1387,42905,1
100,1398,38961,1
100,1419,37514,2
100,1425,40735,1
100,1446,43698,2
100,1454,35794,1
100,1458,36874,4
100,1469,36275,4
100,1470,41283,4
100,1489,43650,4
100,1501,45911,4
100,1517,43047,2
100,1527,44509,4
100,1536,41372,3
100,1540,39475,5
100,1546,37778,2
100,1549,45555,4
100,1550,43253,4
100,1556,39481,2
100,1560,38750,2
100,1581,37963,3
100,1584,42269,2
100,1587,38179,1
100,1597,36335,3
100,1603,42787,3
100,1605,39768,3
100,1606,39169,1
100,1632,46270,5
100,1636,36609,3
100,1637,37979,5
100,1644,36128,4
100,1645,42832,3
100,1652,45880,4
100,1656,42479,1
100,1657,44471,4
100,1663,37275,4
100,1664,36500,2
100,1672,44756,1
100,1675,34992,5
100,1680,45419,4
100,1681,39222,2
100,1690,36702,5
100,1717,38993,4
100,1732,45649,5
100,1735,38126,1
100,1736,46242,1
100,1749,40593,3
100,1753,40956,3
100,1757,36853,3
100,1761,44682,5
100,1762,36054,1
100,1772,40612,2
100,1787,35178,2
100,1795,45837,3
100,1802,35560,4
100,1814,37525,3
100,1820,40671,5
100,1824,35131,1
100,1837,41449,4
100,1839,36978,4
100,1845,40986,3
100,1856,43130,1
100,1859,45421,2
100,1862,37290,4
100,1866,34974,2
100,1873,37850,3
100,1881,42960,3
100,1884,45406,2
100,1895,38667,3
100,1898,44637,4
100,1908,46254,4
100,1915,43822,4
100,1917,40926,3
100,1921,42001,5
100,1942,35832,3
100,1947,45260,3
100,1963,35162,3
100,1972,45360,4
100,1986,45752,4
100,2002,43296,3
100,2011,45103,1
100,2040,43476,4
100,2042,41936,4
100,2047,43504,4
100,2063,44200,4
100,2066,34987,3
100,2074,43257,4
100,2075,36983,4
100,2087,42437,3
100,2095,43448,6
100,2096,43254,4
100,2098,45414,3
100,2110,35057,4
100,2127,46012,3
100,2134,40832,1
100,2164,43745,3
100,2167,43782,3
100,2188,45183,1
100,2220,35725,3
100,2221,38047,3
100,2222,44407,5
100,2269,36214,1
100,2284,35196,3
100,2319,43376,2
100,2324,38980,3
100,2329,44161,4
100,2345,42797,5
100,2369,45784,3
100,2374,40824,1
100,2389,35381,3
100,2396,38999,1
100,2401,39804,1
100,2405,43273,3
100,2420,43995,4
100,2432,42249,4
100,2465,35204,1
100,2473,35743,1
100,2474,40743,5
100,2499,42237,4
100,2502,40997,3
100,2509,38666,3
100,2517,35715,3
100,2524,43459,4
100,2529,36911,3
100,2537,39080,3
100,2599,45171,5
100,2623,44712,3
100,2669,35337,5
100,2670,43269,3
100,2691,36466,2
100,2719,42286,5
100,2722,44174,4
100,2739,37929,1
100,2743,41906,3
100,2756,45429,5
100,2764,37787,4
100,2793,36691,3
100,2815,45642,4
100,2817,40566,3
100,2822,35944,4
100,2825,39701,3
100,2829,42831,4
100,2831,45288,5
100,2836,40707,3
100,2851,41046,5
100,2863,36394,1
100,2867,44883,3
