benchID,anoIdx,refIdx,MFP
100,21,39096,1
100,24,38190,1
100,26,44239,1
100,30,44130,1
100,37,44029,1
100,39,42748,2
100,45,37194,1
100,58,41694,2
100,64,41587,1
100,82,40145,2
100,83,44906,2
100,92,40847,2
100,117,44587,3
100,132,45661,2
100,136,40697,1
100,161,37532,3
100,169,35226,1
100,181,36785,2
100,189,41839,2
100,193,38009,3
100,195,41940,1
100,208,41284,1
100,226,39836,3
100,234,44737,2
100,243,45604,3
100,264,41948,2
100,270,40157,1
100,272,42984,4
100,273,35919,1
100,281,46050,2
100,289,42368,1
100,296,37490,2
100,302,43808,2
100,308,45173,2
100,313,40116,4
100,327,35434,2
100,330,36731,3
100,338,40881,1
100,344,35647,2
100,349,40503,1
100,356,38807,2
100,377,37685,3
100,378,37042,2
100,379,45213,2
100,387,36708,2
100,388,41385,1
100,391,46157,2
100,431,39051,3
100,437,43146,3
100,442,34808,2
100,471,42727,2
100,483,44728,1
100,498,39283,2
100,514,38544,2
100,524,45763,2
100,529,43899,1
100,533,43036,2
100,548,36786,1
100,562,41135,1
100,564,37159,2
100,574,45065,2
100,576,36698,1
100,602,45474,2
100,605,36586,1
100,628,37174,3
100,642,41133,3
100,660,37657,2
100,665,41423,2
100,671,45068,3
100,698,38945,3
100,708,37062,2
100,718,42763,1
100,723,39609,1
100,735,38735,1
100,737,35234,1
100,743,40316,3
100,744,39708,2
100,758,37384,1
100,765,38757,2
100,768,42440,2
100,771,38212,3
100,779,43373,2
100,784,45477,2
100,787,39956,1
100,795,45617,2
100,798,43244,1
100,799,41348,2
100,804,38900,1
100,809,41637,2
100,811,41063,1
100,813,40745,3
100,827,37092,2
100,829,44719,3
100,850,38363,2
100,853,38822,2
100,874,44916,2
100,888,42721,2
100,889,41896,3
100,897,41773,1
100,898,39070,1
100,918,40014,2
100,921,38647,2
100,926,37344,2
100,929,45045,1
100,951,37443,3
100,979,44251,2
100,982,45726,3
100,989,43223,2
100,991,42464,2
100,998,39375,1
100,1027,43485,2
100,1031,37760,1
100,1039,45944,1
100,1045,39853,1
100,1049,44976,2
100,1051,42424,2
100,1052,40193,1
100,1060,38334,1
100,1064,39744,1
100,1088,45672,1
100,1097,36512,1
100,1101,43767,1
100,1120,42768,1
100,1122,39166,2
100,1128,40239,1
100,1132,45929,4
100,1146,36348,2
100,1147,41264,2
100,1148,36434,2
100,1159,43929,1
100,1168,46346,1
100,1171,45118,1
100,1182,37414,1
100,1199,35620,1
100,1223,34934,1
100,1257,40349,2
100,1260,35581,1
100,1268,38986,2
100,1271,42453,1
100,1297,38863,1
100,1301,36239,1
100,1314,44331,3
100,1319,34821,3
100,1341,44573,2
100,1350,36339,2
100,1354,45079,2
100,1369,35046,3
100,1376,39553,1
100,1387,42905,2
100,1398,38961,2
100,1419,37514,3
100,1425,40735,1
100,1446,43698,2
100,1454,35794,1
100,1458,36874,2
100,1469,36275,2
100,1470,41283,1
100,1489,43650,2
100,1501,45911,3
100,1517,43047,2
100,1527,44509,1
100,1536,41372,2
100,1540,39475,2
100,1546,37778,1
100,1549,45555,2
100,1550,43253,4
100,1556,39481,2
100,1560,38750,1
100,1581,37963,2
100,1584,42269,2
100,1587,38179,3
100,1597,36335,1
100,1603,42787,2
100,1605,39768,1
100,1606,39169,1
100,1632,46270,3
100,1636,36609,2
100,1637,37979,3
100,1644,36128,1
100,1645,42832,2
100,1652,45880,2
